cardId,setSeries,idInSetSeries,icon,backIcon,name,versionName,color,cost,cardType,classification,willpower,strength,loreValue,rarity,inkwellFlag,vanillaFlag,bodyguardFlag,challengerFlag,evasiveFlag,recklessFlag,resistFlag,rushFlag,shiftFlag,singerFlag,singTogetherFlag,supportFlag,wardFlag,effectText,flavorText
1001,01_ＴＨＥ　ＦＩＲＳＴ　ＣＨＡＰＴＥＲ　物語のはじまり,001,,,アリエル,人間にはなれたけど,1_umber,4,1_character,ストーリーボーン・ヒーロー・プリンセス,4,3,2,2_uncommon,1,0,0,0,0,0,0,0,0,2,0,0,0,失われた歌声 このキャラクターは歌を歌うためにできない。,「…」
1002,01_ＴＨＥ　ＦＩＲＳＴ　ＣＨＡＰＴＥＲ　物語のはじまり,002,,,アリエル,麗しい歌姫,1_umber,3,1_character,ストーリーボーン・ヒーロー・プリンセス,3,2,1,4_superrare,1,0,0,0,0,0,0,0,0,2,0,0,0,歌声５（このキャラクターは歌を歌う際にコスト５として扱う。）末っ子の初登場！ このキャラクターをプレイしたとき、あなたのデッキの上からカードを４枚見る。歌・カードを１枚公開し手札に加えてもよい。残りを好きな順番でデッキの一番下に置く。,-
1003,01_ＴＨＥ　ＦＩＲＳＴ　ＣＨＡＰＴＥＲ　物語のはじまり,003,,,シンデレラ,忘れない優しさ,1_umber,4,1_character,ストーリーボーン・ヒーロー・プリンセス,5,2,2,2_uncommon,1,0,0,0,0,0,0,0,0,2,0,0,0,歌声５（このキャラクターは歌を歌う際にコスト５として扱う。）すてきな夢 ：プリンセス・キャラクター１体を選び、３ダメージまで取り除く。,-
1004,01_ＴＨＥ　ＦＩＲＳＴ　ＣＨＡＰＴＥＲ　物語のはじまり,004,,,グーフィー,銃士,1_umber,5,1_character,ドリームボーン・ヒーロー・銃士,6,3,1,2_uncommon,1,0,2,0,0,0,0,0,0,0,0,0,0,護衛（このキャラクターをエグザートで場に出してもよい。あなたのキャラクターにチャレンジする対戦相手のキャラクターは、可能なら護衛を持つキャラクターを選ぶ。）二人はお茶のために！ このキャラクターをプレイしたとき、あなたの各銃士・キャラクターからそれぞれ２ダメージまで取り除いてもよい。,「構ッヒョ！」
1005,01_ＴＨＥ　ＦＩＲＳＴ　ＣＨＡＰＴＥＲ　物語のはじまり,005,,,ハデス,オリンポスの王,1_umber,8,1_character,フラッドボーン・ヴィランズ・王様・神格,7,6,1,3_rare,1,0,0,0,0,0,0,0,2,0,0,0,0,変身６（６を支払うことでこのカードをあなたの《ハデス》の上にプレイしてもよい。）腹黒い陰謀 このキャラクターはあなたの場の他のヴィランズ・キャラクターと同じ数だけ+１される。,「おおっと、新しい名刺が必要になるな」
1006,01_ＴＨＥ　ＦＩＲＳＴ　ＣＨＡＰＴＥＲ　物語のはじまり,006,,,ハデス,冥界の主,1_umber,4,1_character,ストーリーボーン・ヴィランズ・神格,2,3,1,3_rare,1,0,0,0,0,0,0,0,0,0,0,0,0,魂の泉 このキャラクターをプレイしたとき、あなたの捨て札からキャラクター・カード１枚を手札に戻す。,「生産量は上がり、コストは下がり、川は満水なんだ。拡大の話をするべき時だ」
1007,01_ＴＨＥ　ＦＩＲＳＴ　ＣＨＡＰＴＥＲ　物語のはじまり,007,,,ヘイヘイ,おやつ見っけ！,1_umber,1,1_character,ストーリーボーン・仲間,2,1,1,1_common,1,0,0,0,0,0,0,0,0,0,0,2,0,支援（このキャラクターがクエストするたび、他のキャラクター１体を選び、このターン、これのをそれのに加えてもよい。）,「能ある鷹は爪隠す、って言うでしょ。能ある…ニワトリだけどね」― モアナ
1008,01_ＴＨＥ　ＦＩＲＳＴ　ＣＨＡＰＴＥＲ　物語のはじまり,008,,,ル・フウ,すっとこどっこい,1_umber,2,1_character,ストーリーボーン・仲間,2,1,2,2_uncommon,1,0,0,0,0,0,0,0,0,0,0,0,0,おべっか使い あなたの場に《ガストン》という名前のキャラクターがいるなら、このキャラクターをプレイするコストの支払いは１減る。,悪党たるもの、比較対象になるとんまな子分を連れ歩くべし。
1009,01_ＴＨＥ　ＦＩＲＳＴ　ＣＨＡＰＴＥＲ　物語のはじまり,009,,,リロ,お願いごと,1_umber,1,1_character,ストーリーボーン・ヒーロー,1,1,2,3_rare,1,1,0,0,0,0,0,0,0,0,0,0,0,-,「流れ星だ…あれあたしの星！早く出てって！お願いごとするんだから！」
1010,01_ＴＨＥ　ＦＩＲＳＴ　ＣＨＡＰＴＥＲ　物語のはじまり,010,,,マキシマス,宮殿の騎馬,1_umber,5,1_character,ストーリーボーン・仲間,5,4,1,4_superrare,1,0,2,0,0,0,0,0,0,0,0,2,0,護衛（このキャラクターをエグザートで場に出してもよい。あなたのキャラクターにチャレンジする対戦相手のキャラクターは、可能なら護衛を持つキャラクターを選ぶ。）支援（このキャラクターがクエストするたび、他のキャラクター１体を選び、このターン、これのをそれのに加えてもよい。）,-
