cardId,setSeries,idInSetSeries,icon,backIcon,name,versionName,color,cost,cardType,classification,willpower,strength,loreValue,rarity,inkwellFlag,vanillaFlag,bodyguardFlag,challengerFlag,evasiveFlag,recklessFlag,resistFlag,rushFlag,shiftFlag,singerFlag,singTogetherFlag,supportFlag,wardFlag,effectText,flavorText
2001,02_ＲＩＳＥ ＯＦ ＴＨＥ ＦＬＯＯＤＢＯＲＮ　フラッドボーンの渾沌,001,,,,,1_umber,4,1_character,ストーリーボーン・仲間・７人のこびと,5,2,3,2_uncommon,0,0,0,0,0,0,0,0,0,0,0,0,0,照れちゃう！ このキャラクターはあなたの場に他の７人のこびと・キャラクターがいないかぎり、クエストできない。,友だちと一緒なら、人生はもっと楽しい。
2002,02_ＲＩＳＥ ＯＦ ＴＨＥ ＦＬＯＯＤＢＯＲＮ　フラッドボーンの渾沌,002,,,,,1_umber,6,1_character,ドリームボーン・ヒーロー,6,2,2,3_rare,0,0,0,0,0,0,0,0,0,0,0,0,0,いつもそばにいるよ あなたがこのキャラクターをレディするたび、あなたの場に他のキャラクターが２体以上いるなら、ロアを２つ得る。,「見て、プー！こんなすごいところ見たことある？」― クリストファー・ロビン
2003,02_ＲＩＳＥ ＯＦ ＴＨＥ ＦＬＯＯＤＢＯＲＮ　フラッドボーンの渾沌,003,,,,,1_umber,2,2_action,-,0,0,0,2_uncommon,0,0,0,0,0,0,0,0,0,0,0,0,0,このターンにチャレンジされたキャラクター１体を選び、退場させる。,「決着をつけよう、悪党め」― ナマーリ
2004,02_ＲＩＳＥ ＯＦ ＴＨＥ ＦＬＯＯＤＢＯＲＮ　フラッドボーンの渾沌,004,,,,,1_umber,2,2_action,歌,0,0,0,1_common,0,0,0,0,0,0,0,0,0,0,0,0,0,（コスト２以上のキャラクターはすることでこの歌をコストを支払わずに歌える。）キャラクターを２体まで選び、このターン、それぞれを-１する。カードを１枚引く。,-
2005,02_ＲＩＳＥ ＯＦ ＴＨＥ ＦＬＯＯＤＢＯＲＮ　フラッドボーンの渾沌,005,,,,,1_umber,2,4_item,-,0,0,0,3_rare,0,0,0,0,0,0,0,0,0,0,0,0,0,ヘンな歌  ： あなたがこのターンに歌をプレイしていたなら、ロアを１つ得る。,-
2006,02_ＲＩＳＥ ＯＦ ＴＨＥ ＦＬＯＯＤＢＯＲＮ　フラッドボーンの渾沌,006,,,,,2_amethyst,3,1_character,ドリームボーン・ヒーロー・魔法使い,3,1,1,4_superrare,0,0,0,0,0,0,0,0,0,0,0,0,0,学びの徒 このキャラクターがクエストするたび、あなたの他のキャラクター１体を選び、手札に戻すことでロアを２つ得てもよい。,「うーん…次はどんな呪文を試してみようかな？」
2007,02_ＲＩＳＥ ＯＦ ＴＨＥ ＦＬＯＯＤＢＯＲＮ　フラッドボーンの渾沌,007,,,,,3_emerald,2,1_character,ストーリーボーン・ヴィランズ,3,1,1,1_common,0,0,0,0,0,0,0,0,0,0,0,0,0,そうさ俺はイカしたヤツ いずれかの対戦相手の手札が０枚である間、このキャラクターは+３される。,「俺では彼女に不足だってのか？」
2008,02_ＲＩＳＥ ＯＦ ＴＨＥ ＦＬＯＯＤＢＯＲＮ　フラッドボーンの渾沌,008,,,,,4_ruby,6,1_character,フラッドボーン・ヒーロー・プリンセス,3,5,2,4_superrare,0,0,0,0,0,0,0,0,0,0,0,0,0,変身４（４を支払うことでこのカードをあなたの《ラーヤ》の上にプレイしてもよい。）クマンドラの勇者 このキャラクターがダメージを受けているキャラクター１体にチャレンジするたび、これはそのチャレンジによってダメージを受けない。,-
2009,02_ＲＩＳＥ ＯＦ ＴＨＥ ＦＬＯＯＤＢＯＲＮ　フラッドボーンの渾沌,009,,,,,5_sapphire,4,1_character,ストーリーボーン・導き手,3,3,2,1_common,0,0,0,0,0,0,0,0,0,0,0,0,0,本当に大事なものを見失わないで このキャラクターが退場したとき、このカードをあなたのインクウェルにエグザートかつ裏向きで置いてもよい。,-
2010,02_ＲＩＳＥ ＯＦ ＴＨＥ ＦＬＯＯＤＢＯＲＮ　フラッドボーンの渾沌,010,,,,,6_steel,2,4_item,-,0,0,0,2_uncommon,0,0,0,0,0,0,0,0,0,0,0,0,0,防具  ： キャラクター１体を選び、そのキャラクターはあなたの次のターンの始めまで、耐久+１を得る。（耐久+１を持つキャラクターに与えられるダメージは１減る。）,最も小さな手で造られた、最も勇敢な心の持ち主のためのヨロイ。
2011,02_ＲＩＳＥ ＯＦ ＴＨＥ ＦＬＯＯＤＢＯＲＮ　フラッドボーンの渾沌,011,,,野獣,容赦せん,3_emerald,6,1_character,ストーリーボーン・ヒーロー・プリンス,5,4,2,5_legendary,0,0,0,0,0,0,0,0,0,0,0,0,0,力が湧いてくる 対戦相手のキャラクター１体がダメージを受けるたび、このキャラクターをレディしてもよい。,-
